ID|Data_Quality|UFP|Year|IS|OT|AG|AT|DT|DP|LT|PPL|CA|FS|RS|N_effort_level1|N_effort|S_effort|N_PDR1|N_PDR|SDR|PET|PIT|I_Date|PAS|E_Plan|E_Specify|E_Design|E_Build|E_Test|E_Implement|E_Unrecorded|Recording_Method|Resource_Level|TSG|MTS|ATS|R_PWE_NPA|CASE_Tool|UM|HMA|Hardware1|Language1|OS1|IDE|DT1|DBS1|CS1|WS1|MS1|OP1|Dev_Methodologies|Dev_Techniques|JAD_Method|PMU|FPS|FPSA|Architecture|Client_Server?|Client_Roles|Server_Roles|TOS|CS_Description|DBMS_Used|Upper_CASE_Used|Other_CASE_Tools?|Other_CASE_Tool_Names|MIN_Defects|MAJ_Defects|X_Defects|TOT_Defects|P_Defects|S_Defects|D_Defects|MIN_B_Defects|MAJ_B_Defects|X_B_Defects|TOT_B_Defects|MIN_T_Defects|MAJ_T_Defects|X_T_Defects|TOT_T_Defects|MIN_I_Defects|MAJ_I_Defects|X_I_Defects|TOT_I_Defects
24302|B|NA|2007|Banking|Banking|'Business Application'|'Financial transaction process/accounting'|'New Development'|MF|3GL|Java|COSMIC|52|S|1305|1305|1188|25.1|25.1|NA|11.9|NA|05-Apr-2007|NA|NA|0|46|545|597|0|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|Java|UNIX/AIX|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
25081|A|NA|2007|Banking|Banking|'Business Application'|'Financial transaction process/accounting'|'New Development'|PC|3GL|C++|COSMIC|237|M1|600|600|600|4.4|4.4|9|3|NA|10-Apr-2009|Planning_Specification_Design_Build_Test_Implement_ProjManagement|67|47|97|143|66|180|0|'Recorded work on project tasks each day'|1|5-8|5|4.8|NA|NA|Yes|'Developed In-house'|NA|Java|Windows|Eclipse|Eclipse|MySQL|NA|'Apache Tomcat 6.0.14'|NA|'In House Framework (written in Java)'|'Agile DevelopmentPersonal Software Process (PSP)Unified Process'|NA|NA|NA|'COSMIC 2'|'COSMIC 2'|'Multi-tier with web public interface'|Yes|'Web/HTML browser'|Security/authentication|NA|NA|Yes|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
28884|A|NA|2007|Government|Government|'Business Application'|'Management or performance reporting'|'New Development'|Multi|4GL|Oracle|COSMIC|1570|L|35426|35426|15233|34.3|34.3|NA|15|NA|13-Sep-2007|NA|NA|NA|NA|15233|NA|NA|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|C#.Net|'Web client'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29310|A|NA|2007|Government|'GovernmentHealth Sciences'|'Business Application'|'Stock control & order processing'|'New Development'|PC|4GL|ASP.Net|COSMIC|441|M2|47493|47493|47493|23.7|23.7|2.9|10|0|06-Sep-2008|Planning_Specification_Design_Build_Test_Implement|6893|3784|8766|16985|5050|5995|20|'Recorded work on project tasks each day'|1|61-70|68|33.3|'80\%'|Yes|Yes|'Developed In-house'|NA|'Java 2 EE'|'Windows XP'|'EclipseRational ClearCaseLuntBuildInhouse developed'|Eclipse|Oracle|WebSphere|WebSphere|'Tibco BusinessWorks'|'Rules engine: Ilog Jrules'|'Agile DevelopmentJoint Application Development (JAD)Multifunctional Teams'|'Data ModellingPrototyping'|Yes|Yes|'COSMIC 3.0'|'COSMIC 3.0'|'Client server'|Yes|'Run a computer-human interfaceData entry & validationData retrieval & presentationWeb/HTML browser'|'Database serverFTP serverHTML/web serverMessaging serverObject/component serverSecurity/authenticationBusiness logic + Integration to 30 other systems'|NA|NA|Yes|Yes|Yes|'MagicDraw UML'|NA|NA|NA|0|NA|NA|0|NA|NA|NA|30|NA|NA|NA|30|NA|NA|NA|30
29604|A|NA|2007|Insurance|Insurance|'Business Application'|'Financial transaction process/accounting'|Enhancement|PC|4GL|ASP.Net|COSMIC|74|S|2707|2707|1597|6.1|6.1|NA|5|NA|23-Apr-2007|NA|NA|NA|NA|1276|321|NA|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|C#.Net|'Web client'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Stand alone'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
30611|B|NA|2007|Manufacturing|'DefenceAerospace / Automotive'|'Business Application'|'Change Management Tool'|'New Development'|NA|3GL|Java|COSMIC|110|M1|10147|10147|9234|25.1|25.1|NA|NA|NA|20-Jan-2006|NA|NA|0|1107|6004|1774|349|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|COBOL|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|0|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|22|NA|NA|NA|NA
31240|B|NA|2007|'Medical & Health Care'|'Medical and Health Care'|'Business Application'|'Catalogue/register of things or events'|'New Development'|Multi|3GL|C#|COSMIC|733|M2|3242|3242|2950|51.5|51.5|NA|NA|NA|26-Jan-2005|NA|NA|0|600|850|1000|500|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|Java|Windows|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31397|B|NA|2007|'Professional Services'|'Professional Services'|'Business Application'|'Catalogue/register of things or events'|'New Development'|Multi|3GL|Java|COSMIC|205|M1|11165|11165|11165|38|38|0.9|15|0|31-May-2004|Planning_Specification_Design_Build_Test_Implement|NA|NA|NA|NA|NA|NA|11165|'Recorded work on project tasks each day'|1|21-30|21|NA|'80\%'|No|Yes|'Developed In-house'|NA|VB6|'Windows XP ProWindows 2000'|'Visual Studio 6.0'|No|'SQL Server'|Component|IIS|No|NA|NA|NA|Yes|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|NA|NA|NA|NA|Yes|No|No|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
25271|B|NA|2008|Banking|Banking|'Business Application'|'Financial transaction process/accounting'|Enhancement|PC|4GL|.Net|COSMIC|60|S|21665|22444|22444|19.8|20.5|7.4|2|0|09-Mar-2006|Planning_Specification_Design_Build_Test_Implement|2036|3054|1763|9447|4479|886|0|'Recorded work on project tasks each day'|4|71-80|74|12.3|NA|NA|NA|NA|NA|'Oracle eBS'|'Windows Server'|'Oracle eBS'|NA|Oracle|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Stand alone'|NA|NA|NA|NA|NA|Yes|NA|NA|NA|0|0|0|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
27553|B|NA|2008|Communication|'general public (mobile phone end user)'|'Business Application'|'Instant Messaging client'|'New Development'|PC|3GL|Java|COSMIC|98|S|19306|19306|19306|48.5|48.5|1.3|10|0|06-Apr-2006|Planning_Specification_Design_Build_Test_Implement|NA|NA|NA|NA|NA|NA|19306|'Recorded total hours each day or week'|1|21-30|30|NA|NA|No|Yes|'Developed In-house'|NA|COBOL|Z-OS|TSO|No|IDMS-DB|IDMS-DC|No|'In house'|NA|NA|NA|Yes|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|NA|NA|NA|NA|Yes|No|No|NA|NA|NA|NA|0|NA|0|14|NA|NA|NA|23|NA|NA|NA|34|NA|NA|NA|NA
28129|B|NA|2008|Financial|'Financial, Property & Business Services'|'Business Application'|'Customer billing/relationship management'|Re-development|PC|3GL|C#|COSMIC|912|M2|6590|6590|6590|25.9|25.9|5.3|6|NA|01-Oct-2005|NA|NA|NA|NA|NA|NA|NA|6590|NA|1|5-8|8|NA|NA|NA|NA|NA|NA|C++|TRU64|NA|ladebug|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29311|A|NA|2008|Government|Government|'Business Application'|'Catalogue/register of things or events'|'New Development'|Multi|3GL|Java|COSMIC|643|M2|3800|4224|4224|21.5|23.9|3.7|8|2|01-Aug-2003|NA|NA|NA|NA|NA|NA|NA|3800|'Recorded hours on each project/day/week'|4|5-8|6|2.5|NA|No|Yes|'Developed In-house'|NA|Java|'Windows 2000'|NA|No|Oracle|WEBLOGIC|'IE, NN'|No|'Report Engine'|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|'Business logic or rule processingData retrieval & presentation'|'Database serverObject/component server'|NA|NA|Yes|No|No|NA|NA|NA|NA|0|NA|NA|0|NA|NA|NA|30|NA|NA|NA|30|NA|NA|NA|30
29331|B|NA|2008|Government|Government|'Business Application'|'Logistic tracking'|'New Development'|Multi|3GL|Java|COSMIC|210|M1|204|204|145|1.5|1.5|NA|11|0|24-Jun-1905|Build_Test_Implement|NA|NA|NA|NA|NA|NA|145|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|AIXPC|C++Java|'UNIXWindows NT'|NA|NA|Oracle|NA|NA|NA|NA|NA|NA|NA|NA|COSMIC|COSMIC|Multi-tier|Yes|NA|NA|NA|NA|Yes|NA|NA|NA|0|0|0|0|NA|NA|NA|NA|NA|NA|NA|14|42|2|58|NA|NA|NA|NA
29471|A|NA|2008|Government|Government|'Business Application'|'Document managementManagement or performance reporting'|'New Development'|Multi|3GL|Java|COSMIC|61|S|669|669|669|4.7|4.7|9.5|3|NA|10-Apr-2009|Planning_Specification_Design_Build_Test_Implement_ProjManagement|120|22|100|254|58|115|0|'Recorded work on project tasks each day'|1|5-8|5|3.7|NA|NA|Yes|'Developed In-house'|NA|Java|Linux|Eclipse|Eclipse|MySQL|NA|'Apache Tomcat 5.5'|NA|'In House Framework (written in Java)JSP'|'Agile DevelopmentPersonal Software Process (PSP)Unified Process'|NA|NA|NA|'COSMIC 2'|'COSMIC 2'|'Multi-tier with web public interface'|Yes|'Web/HTML browser'|Security/authentication|NA|NA|Yes|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29834|A|NA|2008|Insurance|Insurance|'Business Application'|'Printing Documentation Design'|Enhancement|MF|3GL|COBOL|COSMIC|5|XXS|2410|2410|2410|16.7|16.7|4|9|0|10-Jun-2008|Planning_Specification_Design_Build_Test_Implement|NA|NA|NA|NA|NA|NA|2410|'Recorded hours on each project/day/week'|1|3-4|4|1.3|'97\%'|No|Yes|'Developed In-house'|NA|'Owner script'|'Windows Server 2K3'|No|No|'SQL Server'|No|No|No|NA|NA|Prototyping|NA|Yes|'COSMIC 3'|'COSMIC 3'|'Client server'|Yes|'Run a computer-human interfaceData retrieval & presentation'|'Database serverObject/component server'|NA|NA|Yes|No|No|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29893|B|NA|2008|Insurance|Insurance|'Business Application'|'Online analysis and reporting'|Enhancement|MF|3GL|COBOL|COSMIC|6|XXS|3915|3915|3563|48.3|48.3|NA|19.3|NA|04-Oct-2005|NA|NA|207|566|1353|566|871|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|Java|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31333|B|NA|2008|'Medical & Health Care'|'Medical and Health Care'|'Business Application'|'Hospital Information System'|Enhancement|PC|3GL|Java|COSMIC|2003|L|589|589|536|2.9|2.9|NA|NA|NA|NA|NA|NA|25|105|162|244|0|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|AppBuilder|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|1|0|0|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31512|B|NA|2008|'Service Industry'|'Food Processing'|'Business Application'|'Financial transaction process/accountingCustomer billing'|'New Development'|PC|3GL|C++|COSMIC|23|XS|5326|5326|4847|19.8|19.8|NA|26.8|NA|15-Jun-2007|NA|NA|0|1669|877|771|1530|0|'Staff hours (recorded)'|1|NA|NA|NA|NA|NA|NA|NA|NA|COBOLJava|IBM/zOS|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 3.0'|'COSMIC 3.0'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31999|A|NA|2008|Utilities|'Electricity, Gas, Water'|'Business Application'|'Online analysis and reporting'|'New Development'|PC|4GL|ASP.Net|COSMIC|75|S|245|245|245|1.3|1.3|91|2|NA|15-Nov-2001|NA|NA|NA|NA|NA|NA|NA|245|'Recorded hours on each project/day/week'|4|1.0|1|NA|'85\%'|NA|Yes|'Combined Developed/Purchased'|NA|Java|'Windows NT'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Stand alone'|No|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
32005|B|NA|2008|'Wholesale & Retail'|Advertising|'Business Application'|'Web based fullfilment tool for Advertising'|Enhancement|PC|3GL|Java|COSMIC|746|M2|3922|3922|3922|52.3|52.3|1.6|6.7|NA|22-Nov-2002|NA|NA|NA|NA|NA|NA|NA|3922|'Recorded hours on each project/day/week'|1|5-8|7|NA|NA|NA|Yes|'Developed In-house'|NA|'Visual C++ 5.0'|UNIX|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'COSMIC 2.2'|'COSMIC 2.2'|'Client server'|Yes|'Run a computer-human interface'|'Database server'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
