ID|Data_Quality|UFP|Year|IS|OT|AG|AT|DT|DP|LT|PPL|CA|FS|RS|N_effort_level1|N_effort|S_effort|N_PDR1|N_PDR|SDR|PET|PIT|I_Date|PAS|Recording_Method|Resource_Level|MTS|ATS|R_PWE_NPA|P_UWE|CASE_Tool|UM|HMA|Hardware1|Language1|OS1|IDE|DT1|DBS1|CS1|WS1|MS1|OP1|FPS|FPSA|RTA|BAT|SP_CMMI|SP_ISO|SP_TICKIT|MIN_Defects|MAJ_Defects|X_Defects|TOT_Defects|UB_BU|UB_L|UB_DU|UB_CU|IMarket|T_Platform|D_Embedded|SE|SEA|SEM|E_Estimate|E_Estimate_Method|DDE|DDEM|C_Estimate|CEC|CEM|E_Tool|E_Comments|EC_Date|SR?|SR|R_FPC|R_FPA|P_Defects|S_Defects|D_Defects|MIN_B_Defects|MAJ_B_Defects|X_B_Defects|TOT_B_Defects|MIN_T_Defects|MAJ_T_Defects|X_T_Defects|TOT_T_Defects|MIN_I_Defects|MAJ_I_Defects|X_I_Defects|TOT_I_Defects
10592|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Track test management'|'New Development'|MR|3GL|PHP|'IFPUG 4+'|225|M1|NA|1856|1856|NA|8.2|NA|12.4|NA|14-Jun-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|'Adobe Flex'|'MS Windows Server 2008'|FlexBuilderEclipse|Yes|Oracle|No|'IBM Websphere'|'IBM MQ'|NA|'NESMA 2.2'|'NESMA 2.2'|'Counted each table as a logical file'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
11245|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Part management in factory'|'New Development'|MR|3GL|Java|'IFPUG 4+'|599|M2|NA|10960|10083|NA|18.3|NA|13.3|NA|9-Jul-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|'OutSystems Agile Platform'|NA|NA|NA|NA|NA|NA|NA|NA|'IFPUG 4.3'|'IFPUG 4.3'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'Outsourced for internal business unit'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
11623|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'After sales Parts documentation'|'New Development'|PC|3GL|Java|'IFPUG 4+'|333|M2|NA|5661|5208|NA|17|NA|13.8|NA|12-Feb-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|JavaJEE|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Outbound Logistics '|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|7247|NA|30-Nov-04|NA|NA|NA|NA|NA|'Life-cycle Model - Waterfall'|NA|NA|NA|NA|NA|NA|0|73|NA|NA|NA|136|NA|NA|NA|110|NA|NA|NA|NA
14319|B|B|2010|Banking|Banking|'Business Application'|'Auditing Management'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|748|M2|1518|1518|1518|2|2|NA|3|NA|Aug-10|NA|'Automated by development tool'|1|NA|NA|NA|NA|NA|Yes|NA|NA|C++|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'After Sales & Services'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'Outsourced for internal business unit'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
14653|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Parts documentation'|'New Development'|MR|3GL|PL/I|'IFPUG 4+'|158|M1|NA|3670|3376|NA|23.2|NA|7.6|NA|18-Jun-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|NA|Yes|'Developed In-house'|NA|NA|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'General '|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
14979|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'IT management'|'New Development'|MR|3GL|Java|'IFPUG 4+'|427|M2|NA|5620|5170|NA|13.2|NA|7.1|NA|30-Jun-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|JavaJEE|MVS|NA|NA|DB2|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Inbound Logistics'|NA|NA|NA|1|0|NA|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'Complexity - High'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|5|NA|NA|NA|NA
15002|A|A|2010|Utilities|'Electricity, Gas, Water'|'Business Application'|'Electronic Data InterchangeReusable component'|'New Development'|Multi|4GL|ABAP|'IFPUG 4+'|461|M2|12149|12149|12149|26.4|26.4|1.9|17|0|30-Jun-10|'PlanningSpecificationDesignBuildTestImplementProj Management'|'Recorded work on project tasks each day'|1|14|NA|NA|NA|NA|Yes|'Combined Developed/Purchased'|NA|'Visual Basic'|'Windows XP'|NA|NA|'SQL Server'|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Product,Process & Design'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
15011|B|B|2010|'Service Industry'|'Transport & Storage'|'Business Application'|'Auditing Management'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|257|M1|452|452|452|1.8|1.8|NA|3|NA|Jul-10|NA|'Automated by development tool'|1|NA|NA|NA|NA|NA|Yes|NA|NA|JavaJEE|'Windows XP'|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|Sales|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
15264|B|B|2010|Manufacturing|Manufacturing|'Business Application'|Financial|'New Development'|PC|4GL|.Net|'IFPUG 4+'|115|M1|NA|441|441|NA|3.8|NA|2.7|NA|19-Jan-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|PL/I|MVS|NA|NA|DL/1|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|Sales|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'Complexity - Below Average'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
17548|B|B|2010|'Medical & Health Care'|'Medical and Health Care'|'Business Application'|'Clinical Archive'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|116|M1|112|112|112|1|1|NA|2|NA|Aug-10|NA|Timesheets|1|NA|NA|NA|NA|NA|Yes|NA|NA|SQLJEE|NA|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Customer Relationship'|NA|'ISO 9001ISO 27001'|NA|9|3|2|21|NA|3.0|60000000|NA|'Customer, users, team in different orgs'|NA|NA|166000|LOC|NA|13120|'Task breakdown'|26-Feb-10|'Task schedule'|662560|'United Kingdom, pound sterling'|'Task breakdown'|'Work Break Structure (Excel based using past data)'|NA|NA|Yes|'In-house software components/libraries'|NA|NA|NA|21|22|213|221|38|607|34|17|3|60|NA|NA|NA|0
20119|B|B|2010|Manufacturing|Manufacturing|'Business Application'|Financial|'New Development'|PC|3GL|PYTHON|'IFPUG 4+'|323|M2|NA|1663|1530|NA|5.1|NA|9.5|NA|23-Jun-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|NA|Yes|'Developed In-house'|NA|C++|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'After Sales & Services'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
20671|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Rules documentation'|'New Development'|PC|3GL|PHP|'IFPUG 4+'|134|M1|NA|1964|1807|NA|14.7|NA|10.8|NA|8-Sep-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|C++|Windows|NA|NA|matlab|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Product, Process & Design'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'3 separate applications developed in the project'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
21017|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'IT management'|'New Development'|PC|3GL|PHP|'IFPUG 4+'|292|M1|NA|1182|1087|NA|4|NA|7.1|NA|5-Oct-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|ABAP|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Inbound Logistics'|NA|NA|NA|0|0|0|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|13|18|0|31|NA|NA|NA|NA
22347|A|A|2010|'Service Industry'|'Community Services'|'Business Application'|'Workflow support & managementComplex process control'|'New Development'|Multi|3GL|JavaScript|'IFPUG 4+'|399|M2|7037|7037|7037|17.6|17.6|4.5|8|0|19-Jun-10|'PlanningSpecificationDesignBuildTestImplementProj Management'|'Recorded work on project tasks each day'|1|11|NA|NA|NA|No|Yes|'Combined Developed/Purchased'|NA|SQL|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Customer Relationship'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
22542|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Parts selling'|'New Development'|MR|3GL|Java|'IFPUG 4+'|44|S|NA|784|784|NA|17.8|NA|6.3|NA|24-Mar-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|NA|Yes|'Developed In-house'|NA|JavaJEE|'Windows XP'|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Product,Process & Design'|NA|NA|NA|NA|NA|NA|0|NA|NA|NA|NA|'Customer, users & team in same orgPurchased'|NA|NA|283|'IFPUG 4.1'|NA|2264|'FSM basedIFPUG 4.1 '|NA|NA|NA|NA|NA|Manual/Excel|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
22573|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Optimisation for Industrial Scenarios'|'New Development'|PC|3GL|'Visual Basic'|'IFPUG 4+'|298|M1|NA|3552|3268|NA|11.9|NA|10.7|NA|27-Jul-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|JavaJEE|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Purchasing & Supplier Relationship'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
22627|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Marketing management'|'New Development'|PC|3GL|Java|'IFPUG 4+'|66|S|NA|870|800|NA|13.2|NA|6|NA|9-Aug-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|ABAP|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Human Resources'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
