ID|Data_Quality|UFP|Year|IS|OT|AG|AT|DT|DP|LT|PPL|CA|FS|RS|N_effort_level1|N_effort|S_effort|N_PDR1|N_PDR|SDR|PET|PIT|I_Date|PAS|Recording_Method|Resource_Level|MTS|ATS|R_PWE_NPA|P_UWE|CASE_Tool|UM|HMA|Hardware1|Language1|OS1|IDE|DT1|DBS1|CS1|WS1|MS1|OP1|FPS|FPSA|RTA|BAT|SP_CMMI|SP_ISO|SP_TICKIT|MIN_Defects|MAJ_Defects|X_Defects|TOT_Defects|UB_BU|UB_L|UB_DU|UB_CU|IMarket|T_Platform|D_Embedded|SE|SEA|SEM|E_Estimate|E_Estimate_Method|DDE|DDEM|C_Estimate|CEC|CEM|E_Tool|E_Comments|EC_Date|SR?|SR|R_FPC|R_FPA|P_Defects|S_Defects|D_Defects|MIN_B_Defects|MAJ_B_Defects|X_B_Defects|TOT_B_Defects|MIN_T_Defects|MAJ_T_Defects|X_T_Defects|TOT_T_Defects|MIN_I_Defects|MAJ_I_Defects|X_I_Defects|TOT_I_Defects
23552|B|B|2010|'Wholesale & Retail'|'Consumer Goods'|'Business Application'|Promotions|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|243|M1|257|257|257|1.1|1.1|NA|2|NA|Aug-10|NA|'Automated by development tool'|1|NA|NA|NA|NA|NA|Yes|NA|NA|ABAPJEE|'HP Unix'|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Human Resources'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
24384|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'After sales Follow up'|'New Development'|Multi|3GL|RPL|'IFPUG 4+'|1105|L|NA|14453|14453|NA|13.1|NA|23.1|NA|31-Mar-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|C#|'Windows .NET'|NA|NA|DB2|NA|NA|NA|NA|'IFPUG 4.2'|'IFPUG 4.2'|'IFPUG rules'|NA|'CMMI Level 2'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'No estimation data available'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
25415|B|B|2010|'Service Industry'|'Transport & Storage'|'Business Application'|'Airport Management'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|679|M2|326|326|326|0.5|0.5|NA|4|NA|Jul-10|NA|Timesheets|1|NA|NA|NA|NA|NA|Yes|NA|NA|PHP|Linux|NA|NA|MYSQL|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'General '|NA|NA|NA|NA|NA|NA|NA|<2|<2|NA|>5|'In-house for internal business unit'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
25630|A|A|2010|Government|Government|'Business Application'|'Financial transaction process/accountingManagement or performance reportingCustomer billing'|'New Development'|MF|3GL|PL/I|'IFPUG 4+'|303|M2|8490|8490|8490|28|28|3.9|6|0|25-Feb-10|'PlanningSpecificationDesignBuildTestImplementProj Management'|'Recorded work on project tasks each day'|1|13|NA|NA|NA|No|Yes|'Combined Developed/Purchased'|NA|PL/IJEE|MVS|NA|NA|DB2|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|Sales|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
25750|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Interface database'|'New Development'|PC|3GL|PHP|'IFPUG 4+'|147|M1|NA|730|672|NA|5|NA|5.5|NA|13-Oct-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|JavaJEE|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Product, Process & Design'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
26034|B|B|2010|Government|'Public Sector'|'Business Application'|'Project Management'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|143|M1|98|98|98|0.7|0.7|NA|5|NA|Aug-10|NA|'Automated by development tool'|1|NA|NA|NA|NA|NA|Yes|NA|NA|C++|'Windows XP'|NA|NA|ACCESS|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|Sales|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'DE   (Mobile or Device Embedded)'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'Complexity - Low'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
26086|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Analysis and Environmental Risk Assessment '|'New Development'|PC|3GL|C++|'IFPUG 4+'|614|M2|NA|3565|3280|NA|5.8|NA|8.2|NA|13-Dec-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|NA|Yes|'Developed In-house'|NA|JEE|NA|NA|NA|DB2|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Outbound Logistics '|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|175|NA|NA|NA|NA
26812|A|A|2010|Government|'GovernmentPublic administration'|'Business Application'|'Electronic Data Interchange'|'New Development'|Multi|4GL|ABAP|'IFPUG 4+'|183|M1|7327|7327|7327|40|40|0.7|21|0|17-May-10|'PlanningSpecificationDesignBuildTestImplementProj Management'|'Recorded work on project tasks each day'|1|12|NA|NA|NA|NA|Yes|'Combined Developed/Purchased'|NA|JavaJEE|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|Sales|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
26861|B|B|2010|'Electronics & Computers'|'High Tech'|'Business Application'|'Course Management'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|138|M1|87|87|87|0.6|0.6|NA|1|NA|Jul-10|NA|'Automated by development tool'|1|NA|NA|NA|NA|NA|Yes|NA|NA|NA|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'General '|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|25|NA|NA|NA|NA
30360|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Test vehicles Reporting'|'New Development'|PC|4GL|BO|'IFPUG 4+'|129|M1|NA|1371|1261|NA|10.6|NA|4.8|NA|22-Jun-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|SQL|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Customer Relationship'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'DE   (Mobile or Device Embedded)'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'Complexity - High'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
31600|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'After sales Parts documentation'|'New Development'|PC|3GL|Java|'IFPUG 4+'|205|M1|NA|3557|3272|NA|17.4|NA|30.2|NA|7-Sep-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|JavaJEE|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Outbound Logistics '|NA|NA|NA|NA|1|NA|1|NA|1.0|NA|NA|'Customer, users & team in same org'|NA|NA|NA|NA|'Proces model'|1370|'FSM basedcFFP'|14-Aug-02|'Task schedule'|149000|'European, euro'|'Task breakdown'|'IFPA / Siesta'|No|NA|Yes|'In-house software framework/foundation'|NA|NA|NA|NA|0|NA|NA|NA|NA|1|2|NA|NA|0|0|0|NA
32136|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Dealer management'|'New Development'|PC|3GL|PHP|'IFPUG 4+'|471|M2|NA|1591|1464|NA|3.4|NA|5.9|NA|28-Sep-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|NA|Yes|'Developed In-house'|NA|'Visual Basic'|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Financial (excluding Banking)'|NA|NA|NA|0|0|NA|0|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|'Complexity - High'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|5|NA|NA|NA|NA
32216|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Packaging Visibility System'|'New Development'|MF|3GL|PL/I|'IFPUG 4+'|97|S|NA|1273|1273|NA|13.1|NA|5.8|NA|1-Jul-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|NA|Yes|'Developed In-house'|NA|PL/I|MVS|NA|NA|DB2|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Outbound Logistics '|NA|NA|NA|NA|NA|NA|2|NA|NA|NA|NA|'Customer & users 1 org, team in anotherPurchased'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
32296|B|B|2010|Utilities|Energy|'Business Application'|'Customer relationship management'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|1371|L|2274|2274|2274|1.7|1.7|NA|4|NA|Aug-10|NA|'Automated by development tool'|1|NA|NA|NA|NA|NA|Yes|NA|NA|BO|'Windows XP'|NA|NA|DB2|NA|NA|NA|NA|'Addendum to existing standards'|'IFPUG 4.1Addendum to existing standards'|NA|'Product, Process & Design'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
32380|B|B|2010|Manufacturing|Manufacturing|'Business Application'|'Project management'|'New Development'|Multi|3GL|Java|'IFPUG 4+'|291|M1|NA|1926|1772|NA|6.6|NA|8|NA|13-Jan-10|SpecificationDesignBuildTestImplement|'Staff hours (recorded)'|3|NA|NA|NA|NA|Yes|Yes|'Developed In-house'|NA|ABAP|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|Manufacturing|NA|NA|NA|0|0|0|0|NA|1.0|NA|NA|'In-house for internal business unit'|NA|NA|NA|NA|NA|230|'Task based'|26-Aug-97|NA|6900|'United Kingdom, pound sterling'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
32692|B|B|2010|Education|'Education Institution'|'Business Application'|'Student & Tests Management'|'New Development'|Proprietary|5GL|'Proprietary Agile Platform'|'IFPUG 4+'|995|M2|614|614|614|0.6|0.6|NA|5|NA|Aug-10|NA|'Automated by development tool'|1|NA|NA|NA|NA|NA|Yes|NA|NA|C++|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|Quality|NA|NA|NA|NA|NA|NA|NA|2.0|5.0|NA|5.0|'In-house for internal business unit'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
12301|B|A|2010|'Service Industry'|'Agriculture, Forestry, Fishing, HuntingTransport & Storage'|'Business Application'|Distribution|'New Development'|PC|4GL|.Net|NESMA|211|M1|1021|1021|1021|4.8|4.8|NA|NA|NA|NA|NA|'Recorded work on project tasks each day'|1|6|NA|NA|NA|No|Yes|'Combined Developed/Purchased'|NA|JavaJEE|NA|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Outbound Logistics '|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
18413|A|A|2010|Insurance|Insurance|'Business Application'|'Calculation, quotation, insurance policy issue'|'New Development'|PC|4GL|'Adobe Flex'|NESMA|192|M1|2223|2251|1806|11.6|11.7|2.2|8|0|14-Feb-11|NA|'Recorded work on project tasks each day'|3|11|5.2|'80\%'|NA|No|Yes|'Developed In-house'|NA|JavaJEE|Windows|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Outbound Logistics '|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
27234|A|A|2010|Insurance|Insurance|'Business Application'|'Calculation, quotation, insurance policy issue'|'New Development'|PC|4GL|'Adobe Flex'|NESMA|98|S|1012|1012|921|10.3|10.3|0.8|8|0|25-Oct-10|NA|'Recorded work on project tasks each day'|1|15|3.7|'80\%'|NA|No|Yes|'Developed In-house'|NA|SQL|UNIX|NA|NA|Oracle|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'Dealer Operations'|NA|NA|NA|0|0|0|0|NA|NA|NA|NA|'Customer & users 1 org, team in another'|NA|NA|NA|NA|NA|4028|'Task breakdown'|1-Dec-06|'Management directive'|NA|NA|NA|NA|NA|NA|Yes|'In-house software framework/foundation'|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
29628|A|A|2010|Government|Government|'Business Application'|'Catalogue/register of things or events'|Re-development|Multi|3GL|C#|'IFPUG 4+'|112|M1|2134|2134|2134|19.1|19.1|2.8|5|0|28-May-10|'PlanningSpecificationDesignBuildTestImplementProj Management'|'Recorded work on project tasks each day'|1|8|NA|NA|NA|NA|Yes|'Combined Developed/Purchased'|NA|'Visual BasicJEE'|NA|NA|NA|DB2|NA|NA|NA|NA|'IFPUG 4.1'|'IFPUG 4.1Addendum to existing standards'|NA|'General '|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
